Date,Event,Actor(s),Source,Accountability Issue,Legal Violation,Evidence Location
2025-12-12,NMELC letter to NMED on Acoma LLC air permits,New Mexico Environmental Law Center,Letter to NM Environment Department,Requests public notice in English & Spanish for air pollution permits in Sunland Park & Santa Teresa,Air quality permitting concerns for Project Jupiter,nmelc.org_2025_12_12 letter
2025-12-15,NMELC follow-up letter to NMED on air permits,New Mexico Environmental Law Center,Follow-up letter to NMED,Continued advocacy for proper public notice on Acoma LLC applications,Environmental justice concerns; Inadequate public participation,nmelc.org_2025_12_15 letter
Ongoing,County posts project information on website,Doña Ana County,County economic development webpage,Public-facing explanation of IRB process and project benefits,Promotional tone; Lacks disclosure of risks or community concerns,www.donaana.gov economic_development_projects.php
Ongoing,IRB Series 2025A/B/C bond documents executed,Doña Ana County & STACK Infrastructure & BorderPlex Digital,Executed bond documents,Three separate bond series totaling up to $165 billion,Largest IRB in NM history; Financial risk assessment not disclosed,IRB-Series-2025A/B/C files
Ongoing,LEDA Project Participation Agreement (GRT Share) executed,Doña Ana County & project developers,Executed agreement,Detailed terms of GRT tax sharing arrangement,Terms favor developer; Claw-back provisions may be insufficient,LEDA-PPA-GRT-Share_Executed files
Ongoing,MOU fully executed (September 24 version),Doña Ana County & project developers,Fully executed MOU dated 9/24/2025,Later MOU closer to approval votes,Multiple versions suggest evolving terms; Lack of transparency,2025.09.24_Project_Jupiter_Fully_Executed_MOU files
Ongoing,No economic impact analysis disclosed,Doña Ana County Commission,Absence in public record,Community advocates noted missing economic analysis,Failure to conduct required feasibility analysis,kfoxtv.com Sept 19 article line 21
Ongoing,No environmental impact analysis disclosed,Doña Ana County Commission,Absence in public record,Community advocates noted missing environmental analysis,Potential NEPA or state environmental review violations,kfoxtv.com Sept 19 article line 21
Ongoing,No public disclosure of PILOT payment amounts,Doña Ana County,Absence in public documents,Payment in Lieu of Taxes amounts not disclosed to public,Lack of transparency; Public unable to assess financial benefit,County economic development webpage (mentions PILOT but no amounts)
Ongoing,Water usage projections not disclosed,Project developers & County,Absence in public record,Community concerns about water strain not addressed with data,Inadequate environmental review,Multiple news articles cite community water concerns
Ongoing,Energy demand projections not disclosed,Project developers & County,Absence in public record,Microgrid plans and grid impact not detailed publicly,Inadequate infrastructure planning disclosure,Multiple news articles cite energy concerns
Ongoing,Connection to OpenAI/Stargate initiative alleged,BorderPlex Digital Assets & potentially OpenAI,News coverage & legal filings,Project may be part of $500B national "Stargate" AI initiative,Lack of disclosure about ultimate beneficiaries/tenants,nmelc.org lawsuit article; kfoxtv.com Stargate article
Ongoing,Desalination plant funding sought,Doña Ana County,County funding request,County seeking $25M for Santa Teresa desalination plant to support project,Public infrastructure costs shifted to taxpayers,kfoxtv.com desalination article
Ongoing,No public disclosure of job quality or duration,Project developers & County,Promotional statements lack detail,"Thousands of construction jobs" and "hundreds of permanent positions" claimed without detail,Unsubstantiated economic claims,Multiple sources mention jobs but no specifics
Ongoing,Four commissioners who voted YES not identified by name in most coverage,Doña Ana County Commission,News coverage pattern,Only Susana Chaparro (NO vote) consistently named; YES voters protected from accountability,Lack of media accountability; Public unable to target advocacy,Multiple news articles
